,description,tags,price,product_id,image
0,"Love ring, 18K yellow gold. Width: 5.5mm.",yellow gold,1650.0,a7baef4a-4ccf-cff1-2005-64b556863ec2,https://www.cartier.sg//content/dam/rcq/car/58/71/74/587174.png
1,"Love ring, 950/1000 platinum. Width: 5.5mm.",platinum,3650.0,a7baef4a-4ccf-cff1-2005-64b556863ec2,https://www.cartier.sg//content/dam/rcq/car/19/43/98/1/1943981.png
2,"Love ring, 18K rose gold. Width: 5.5mm.",pink gold,1650.0,a7baef4a-4ccf-cff1-2005-64b556863ec2,https://www.cartier.sg//content/dam/rcq/car/10/28/64/0/1028640.png
3,"Love ring, 18K white gold. Width: 5.5mm.",white gold,1770.0,a7baef4a-4ccf-cff1-2005-64b556863ec2,https://www.cartier.sg//content/dam/rcq/car/10/28/63/6/1028636.png
4,"Love ring, 18K pink gold, set with 6 brilliant-cut diamonds totaling 0.46 carat. Width 5.5 mm.","pink gold, diamonds",5250.0,a7baef4a-4ccf-cff1-2005-64b556863ec2,https://www.cartier.sg//content/dam/rcq/car/96/38/85/963885.png
5,"Love ring, 18K rose gold, set with 1 rose sapphire, 1 blue sapphire, 1 yellow sapphire, 1 green garnet, 1 orange garnet and 1 amethyst. Width: 5.5mm.","pink gold, sapphires, garnets, amethyst",2760.0,a7baef4a-4ccf-cff1-2005-64b556863ec2,https://www.cartier.sg//content/dam/rcq/car/63/24/02/632402.png
6,"Love ring, 18K yellow gold.",yellow gold,3250.0,a7baef4a-4ccf-cff1-2005-64b556863ec2,https://www.cartier.sg//content/dam/rcq/car/19/21/91/4/1921914.png
7,"Love ring, 18K white gold.",white gold,3500.0,a7baef4a-4ccf-cff1-2005-64b556863ec2,https://www.cartier.sg//content/dam/rcq/car/16/48/33/4/1648334.png
8,"Love wedding band, 18K yellow gold. Width: 3.6mm.",yellow gold,1070.0,b4cd3d3f-df3f-15e1-f149-09320da83355,https://www.cartier.sg//content/dam/rcq/car/59/18/04/591804.png
9,"Love wedding band, 18K rose gold. Width: 3.6mm.",pink gold,1070.0,b4cd3d3f-df3f-15e1-f149-09320da83355,https://www.cartier.sg//content/dam/rcq/car/58/73/14/587314.png
10,"Love wedding band, 18K white gold. Width: 3.6mm.",white gold,1140.0,b4cd3d3f-df3f-15e1-f149-09320da83355,https://www.cartier.sg//content/dam/rcq/car/59/22/21/592221.png
11,"Love wedding band, 950/1000 platinum. Width: 3.6mm.",platinum,2380.0,b4cd3d3f-df3f-15e1-f149-09320da83355,https://www.cartier.sg//content/dam/rcq/car/62/40/10/624010.png
12,"Love ring, 18K yellow gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm.","yellow gold, diamonds",3500.0,75425632-6b71-aa87-9f44-e40d262a48cc,https://www.cartier.sg//content/dam/rcq/car/58/47/16/584716.png
13,"Love ring, 18K rose gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm.","pink gold, diamonds",3500.0,75425632-6b71-aa87-9f44-e40d262a48cc,https://www.cartier.sg//content/dam/rcq/car/58/39/70/583970.png
14,"Love ring, 18K white gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm.","white gold, diamonds",3750.0,75425632-6b71-aa87-9f44-e40d262a48cc,https://www.cartier.sg//content/dam/rcq/car/58/36/97/583697.png
15,"Love wedding band, 18K yellow gold, set with 1 brilliant-cut diamonds totaling 0.02 carats. Width: 4mm.","yellow gold, diamond",2020.0,671167be-bd55-1e51-bc26-939e046498c3,https://www.cartier.sg//content/dam/rcq/car/63/23/97/632397.png
16,"Love wedding band, 18K rose gold, set with 1 brilliant-cut diamonds totaling 0.02 carats. Width: 4mm.","pink gold, diamond",2020.0,671167be-bd55-1e51-bc26-939e046498c3,https://www.cartier.sg//content/dam/rcq/car/59/04/56/590456.png
17,"Love wedding band, 18K white gold, set with 1 brilliant-cut diamond totaling 0.02 carats. Width: 4mm.","white gold, diamond",2160.0,671167be-bd55-1e51-bc26-939e046498c3,https://www.cartier.sg//content/dam/rcq/car/58/35/46/583546.png
18,"Love wedding band, 18K yellow gold, set with 8 brilliant-cut diamonds totaling 0.19 carats. Width: 4mm.","yellow gold, diamonds",3550.0,6530b667-3f81-8b2b-db4c-81ec72d2992d,https://www.cartier.sg//content/dam/rcq/car/63/24/04/632404.png
19,"Love wedding band, 18K rose gold, set with 8 brilliant-cut diamonds totaling 0.19 carats. Width: 4mm.","pink gold, diamonds",3550.0,6530b667-3f81-8b2b-db4c-81ec72d2992d,https://www.cartier.sg//content/dam/rcq/car/63/24/01/632401.png
20,"Love wedding band, 18K white gold, set with 8 brilliant-cut diamond totaling 0.19 carats. Width: 4mm.","white gold, diamonds",3800.0,6530b667-3f81-8b2b-db4c-81ec72d2992d,https://www.cartier.sg//content/dam/rcq/car/58/38/22/583822.png
21,"Love ring, small model, 18K yellow gold, set with 72 brilliant-cut diamonds totaling 0.19 carats. Width: 2.6mm.","yellow gold, diamonds",4500.0,e6cad1fc-4939-7ffe-5920-20671cefc30c,https://www.cartier.sg//content/dam/rcq/car/10/57/33/0/1057330.png
