Name,Platforms,Release date,Review,Discount,Original price
Red Dead Redemption 2,Windows,"5 Dec, 2019",Positive,-50%,1.000.000þ
Titanfall® 2,Windows,"18 Jun, 2020",Positive,-84%,700.000þ
Marvel’s Spider-Man Remastered,Windows,"12 Aug, 2022",Positive,No discount,1.139.000þ
Sekiro™: Shadows Die Twice - GOTY Edition,Windows,"21 Mar, 2019",Positive,-50%,1.290.000þ
Grand Theft Auto V: Premium Edition,Windows,,Positive,No discount,225.000þ
Destiny 2: Lightfall + Annual Pass,Windows,"28 Feb, 2023",Positive,No discount,1.380.000þ
Made in Abyss: Binary Star Falling into Darkness,Windows,"2 Sep, 2022",Mixed,No discount,480.000þ
Forza Horizon 4,Windows,"9 Mar, 2021",Positive,-67%,480.000þ
Need for Speed™ Payback,Windows,"18 Jun, 2020",Positive,-90%,700.000þ
Forza Horizon 5,Windows,"8 Nov, 2021",Positive,-30%,990.000þ
JoJo's Bizarre Adventure: All-Star Battle R,Windows,"1 Sep, 2022",Positive,No discount,680.000þ
Hogwarts Legacy,Windows,"10 Feb, 2023",None,No discount,990.000þ
Hogwarts Legacy,Windows,"10 Feb, 2023",None,No discount,990.000þ
Cult of the Lamb,"Windows, Mac","11 Aug, 2022",Positive,No discount,400.000þ
Forza Horizon Ultimate Driving Bundle,Windows,,Positive,-47%,2.440.000þ
ELDEN RING,Windows,"24 Feb, 2022",Positive,No discount,800.000þ
Destiny 2: The Witch Queen Deluxe Edition,Windows,"22 Feb, 2022",Positive,-33%,620.000þ
Destiny 2: The Witch Queen,Windows,"22 Feb, 2022",Positive,-40%,310.000þ
CS:GO Prime Status Upgrade,"Windows, Mac, Linux","21 Aug, 2012",Positive,No discount,340.000þ
PlateUp!,Windows,"4 Aug, 2022",Positive,No discount,180.000þ
Ready or Not,Windows,"17 Dec, 2021",Positive,No discount,310.000þ
Call of Duty®: Black Ops III,"Windows, Mac","5 Nov, 2015",Positive,-67%,1.363.500þ
Dead by Daylight - Resident Evil: PROJECT W Chapter,Windows,"30 Aug, 2022",Positive,No discount,140.000þ
Total War: WARHAMMER III,"Windows, Mac, Linux","16 Feb, 2022",Mixed,No discount,1.061.500þ
Sid Meier’s Civilization® VI Anthology,"Windows, Mac, Linux",,Positive,-86%,3.791.000þ
Detroit: Become Human,Windows,"18 Jun, 2020",Positive,-50%,585.000þ
Dying Light 2 Stay Human,Windows,"3 Feb, 2022",Positive,-40%,990.000þ
Wallpaper Engine,Windows,Nov-18,Positive,No discount,70.000þ
Mafia Trilogy,Windows,"24 Sep, 2020",Positive,-60%,1.000.000þ
F1® Manager 2022,Windows,"30 Aug, 2022",Positive,No discount,880.000þ
Victoria 3,"Windows, Mac, Linux","25 Oct, 2022",None,No discount,801.000þ
No Man's Sky,Windows,"12 Aug, 2016",Positive,-50%,550.000þ
Gunfire Reborn - Visitors of Spirit Realm,Windows,"28 Aug, 2022",Positive,-20%,90.000þ
Farthest Frontier,Windows,"9 Aug, 2022",Positive,No discount,250.000þ
NBA 2K23,Windows,"8 Sep, 2022",None,No discount,1.000.000þ
NBA 2K23,Windows,"8 Sep, 2022",None,No discount,1.000.000þ
NBA 2K23,Windows,"8 Sep, 2022",None,No discount,1.000.000þ
Stray,Windows,"19 Jul, 2022",Positive,No discount,265.000þ
F1® 22,Windows,"30 Jun, 2022",Mixed,-35%,990.000þ
Inside the Backrooms,Windows,"20 Jun, 2022",Positive,No discount,70.000þ
Raft,Windows,"20 Jun, 2022",Positive,No discount,188.000þ
CODE VEIN,Windows,"26 Sep, 2019",Positive,-80%,800.000þ
Call of Duty®: Modern Warfare® II,Windows,"28 Oct, 2022",None,No discount,1.799.000þ
Destiny 2: Legacy Collection,Windows,"18 Jan, 2022",Mixed,-60%,480.000þ
Risk of Rain 2 + Survivors of the Void Expansion,Windows,,Positive,-52%,360.000þ
Phasmophobia,Windows,"18 Sep, 2020",Positive,No discount,160.000þ
Rust,"Windows, Mac","8 Feb, 2018",Positive,No discount,510.000þ
Rust,"Windows, Mac","8 Feb, 2018",Positive,No discount,510.000þ
Mass Effect™ Legendary Edition,Windows,"14 May, 2021",Positive,-59%,990.000þ
The Imperial Gatekeeper,Windows,"2 Sep, 2022",Positive,-10%,150.000þ
